183.87 	85.54 
179.54 	80.94 
173.62 	72.99 
167.83 	62.86 
174.38 	75.47 
171.38 	68.83 
171.10 	68.51 
169.39 	66.44 
174.26 	74.05 
171.87 	70.40 
163.64 	57.51 
166.51 	60.41 
157.39 	50.34 
167.17 	62.03 
168.36 	63.11 
161.17 	55.65 
169.75 	67.04 
166.97 	61.40 
166.95 	60.61 
168.87 	64.44 
171.50 	69.40 
164.45 	57.81 
171.39 	68.85 
166.47 	60.10 
174.26 	73.75 
157.47 	52.44 
170.04 	67.44 
177.86 	80.44 
168.76 	63.89 
171.47 	69.26 
180.18 	82.35 
188.11 	86.87 
174.49 	75.56 
167.60 	62.57 
175.10 	77.07 
173.09 	72.17 
166.99 	61.74 
163.45 	56.98 
175.07 	76.40 
179.57 	81.64 
172.93 	72.14 
162.10 	56.51 
167.87 	62.94 
166.11 	59.61 
169.74 	66.62 
179.61 	81.82 
169.33 	66.28 
167.13 	61.78 
172.43 	71.55 
156.90 	48.63 
166.85 	60.59 
176.78 	78.66 
168.87 	64.39 
172.09 	70.85 
163.19 	56.76 
170.68 	67.90 
165.80 	58.29 
167.49 	62.21 
172.36 	70.87 
175.14 	77.38 
168.21 	63.06 
171.98 	70.44 
169.06 	64.85 
172.27 	70.85 
165.62 	58.21 
159.62 	53.05 
175.56 	77.77 
167.33 	62.18 
174.21 	73.10 
160.95 	54.45 
171.03 	67.97 
176.68 	78.08 
169.21 	65.09 
165.41 	58.07 
175.09 	76.44 
173.51 	72.20 
169.32 	66.01 
161.48 	56.09 
162.84 	56.63 
172.53 	71.63 
172.77 	71.63 
168.81 	63.97 
168.98 	64.84 
157.63 	52.51 
156.70 	47.32 
168.85 	64.34 
171.73 	70.31 
170.22 	67.65 
161.12 	55.38 
166.76 	60.46 
169.44 	66.50 
177.71 	79.35 
159.88 	53.96 
172.37 	71.00 
165.54 	58.18 
163.48 	57.04 
166.80 	60.56 
172.89 	71.68 
177.63 	79.05 
169.74 	66.78 
